Epoch,Loss,Accuracy,Model
1,0.7265011668205261,0.3561982214450836,MLP
2,0.7192013263702393,0.3685322701931,MLP
3,0.712043046951294,0.38282665610313416,MLP
4,0.7050238847732544,0.3990814685821533,MLP
5,0.6981402635574341,0.4160713851451874,MLP
6,0.6913947463035583,0.43126431107521057,MLP
7,0.6847849488258362,0.4430265724658966,MLP
8,0.6783078908920288,0.4551972448825836,MLP
9,0.6719610095024109,0.4690832495689392,MLP
10,0.665741503238678,0.4796202480792999,MLP
11,0.6596442461013794,0.4893404543399811,MLP
12,0.6536650657653809,0.5000408887863159,MLP
13,0.6477986574172974,0.5074739456176758,MLP
14,0.6420412063598633,0.5160506367683411,MLP
15,0.6363875865936279,0.5227485299110413,MLP
16,0.6308368444442749,0.5297732353210449,MLP
17,0.6253824830055237,0.5378598570823669,MLP
18,0.6200196743011475,0.544394314289093,MLP
19,0.6147458553314209,0.5504388809204102,MLP
20,0.6095575094223022,0.5568101406097412,MLP
1,0.7232540845870972,0.4559323787689209,GatedMLP
2,0.7160100340843201,0.46034324169158936,GatedMLP
3,0.708930492401123,0.46467238664627075,GatedMLP
4,0.702014684677124,0.4681030511856079,GatedMLP
5,0.6952608823776245,0.471697062253952,GatedMLP
6,0.6886669993400574,0.4751277267932892,GatedMLP
7,0.6822295188903809,0.47953858971595764,GatedMLP
8,0.6759451031684875,0.48345932364463806,GatedMLP
9,0.6698104739189148,0.48746174573898315,GatedMLP
10,0.663825511932373,0.4908924698829651,GatedMLP
11,0.6579818725585938,0.4948948621749878,GatedMLP
12,0.6522772312164307,0.4980804920196533,GatedMLP
13,0.6467090249061584,0.502491295337677,GatedMLP
14,0.641269862651825,0.5069022178649902,GatedMLP
15,0.6359538435935974,0.5103328227996826,GatedMLP
16,0.6307553052902222,0.5123748779296875,GatedMLP
17,0.6256697177886963,0.5156421661376953,GatedMLP
18,0.6206923723220825,0.5188277959823608,GatedMLP
19,0.6158177256584167,0.522258460521698,GatedMLP
20,0.6110416054725647,0.5243821740150452,GatedMLP
